Provider,Customers,Nash,Fixed,RandomBest,RandomAvg
0,5,182.9528,102.9832,183.9734,119.8987
0,10,289.6266,102.9832,289.6624,142.5115
0,15,455.4015,102.9832,455.5263,141.6973
0,20,485.8883,102.9832,486.1929,181.7290
0,25,555.1192,102.9832,555.7791,152.4806
1,5,361.2365,362.0901,368.4910,291.7867
1,10,361.2365,362.0901,763.4461,401.8304
1,15,361.2365,362.0901,1025.0283,483.6631
1,20,361.2365,362.0901,1111.9371,528.3597
1,25,361.2365,362.0901,1094.4633,503.6721
2,5,42.2403,14.2010,41.9649,25.5363
2,10,389.3477,14.2010,85.7587,23.9701
2,15,587.5960,14.2010,115.0067,33.3705
2,20,793.8248,14.2010,134.0422,31.8837
2,25,809.8809,14.2010,149.8023,38.8321
3,5,78.6668,44.2676,78.6426,55.5775
3,10,85.9075,44.2676,78.3851,51.1801
3,15,152.0266,44.2676,78.5165,54.4515
3,20,169.6148,44.2676,78.6231,49.7111
3,25,184.8923,44.2676,77.8295,55.6284
4,5,3.9796,3.2983,4.0491,2.4383
4,10,254.2468,8.8140,258.3975,58.4900
4,15,401.6354,14.5000,406.5042,62.7867
4,20,630.9863,18.5396,645.1313,149.1423
4,25,786.5175,19.6176,798.3599,204.2718
