ID,Demand/Unit,latency,CO2,budget
0,87,1.24,0.26,2.2
1,29,1.64,0.22,2.6
2,38,2.80,0.14,2.1
3,98,1.92,0.23,2.6
4,71,2.26,0.27,2.5
5,    82,    2.21,    0.21,    1.9
6,    53,    1.55,    0.15,    1.6
7,    92,    1.14,    0.24,    1.7
8,    89,    1.71,    0.28,    1.9
9,    85,    1.22,    0.19,    2.0
10,    95,    2.03,    0.15,    1.9
11,    48,    2.74,    0.18,    2.0
12,    89,    1.12,    0.25,    2.0
13,    59,    2.71,    0.25,    1.6
14,    25,    1.52,    0.18,    1.8
15,    32,    2.37,    0.18,    1.8
16,    37,    2.98,    0.12,    2.0
17,    24,    2.30,    0.19,    1.9
18,    88,    2.84,    0.19,    1.9
19,    99,    3.00,    0.23,    1.7
20,    20,    2.93,    0.27,    1.7
21,    52,    2.71,    0.14,    2.0
22,    25,    1.41,    0.20,    1.5
23,    79,    1.53,    0.22,    1.7
24,    25,    1.49,    0.26,    1.5
25,    26,    1.78,    0.16,    1.9
26,    64,    2.57,    0.27,    1.6
27,    90,    1.06,    0.16,    1.6
28,    61,    2.58,    0.26,    1.5
29,    70,    1.31,    0.16,    1.6
30,    83,    1.13,    0.30,    1.9
31,    40,    1.15,    0.27,    1.6
32,    95,    1.26,    0.12,    1.5
33,    39,    1.98,    0.24,    1.5
34,    79,    2.74,    0.17,    2.0
35,    83,    1.84,    0.28,    1.7
36,    22,    1.31,    0.16,    1.7
37,    53,    2.73,    0.24,    1.5
38,    73,    2.13,    0.22,    1.8
39,    34,    1.34,    0.14,    1.6
40,    44,    2.53,    0.25,    1.6
41,    59,    1.55,    0.22,    2.0
42,    49,    1.66,    0.14,    1.9
43,    31,    2.09,    0.20,    1.8
44,    56,    1.31,    0.17,    1.7
45,    48,    1.37,    0.20,    1.9
46,    60,    2.19,    0.29,    2.0
47,    75,    1.34,    0.11,    1.7
48,    51,    2.51,    0.17,    1.7
49,    56,    1.09,    0.13,    1.6
50,44,1.72,0.29,2.2
51,23,1.45,0.27,2.0
52,76,1.81,0.25,2.4
53,92,1.94,0.20,2.1
54,20,1.54,0.27,2.4
55,41,1.58,0.25,2.1
56,39,1.92,0.23,2.3
57,94,2.72,0.28,2.4
58,61,2.17,0.23,2.4
59,30,1.57,0.17,2.2
60,41,1.56,0.21,2.4
61,58,1.91,0.14,2.1
62,40,1.41,0.14,2.2
63,64,1.40,0.25,2.2
64,59,2.03,0.26,2.4
65,34,1.17,0.29,2.1
66,46,1.97,0.27,2.4
67,42,1.72,0.21,2.4
68,86,2.42,0.12,2.5
69,22,2.49,0.20,2.2
70,83,2.38,0.29,2.1
71,80,2.38,0.26,2.1
72,21,1.75,0.20,2.4
73,71,2.34,0.19,2.5
74,89,1.68,0.14,2.3
75,49,2.15,0.14,2.2
76,44,1.65,0.11,2.1
77,82,1.89,0.28,2.4
78,27,1.12,0.23,2.4
79,63,1.49,0.13,2.0
80,53,2.94,0.18,2.1
81,99,1.46,0.11,2.4
82,68,2.38,0.14,2.4
83,57,2.30,0.25,2.2
84,40,2.45,0.23,2.1
85,69,1.95,0.20,2.2
86,41,2.19,0.15,2.3
87,98,1.13,0.23,2.0
88,48,1.15,0.29,2.4
89,74,1.40,0.19,2.3
90,20,1.30,0.11,2.4
91,84,1.20,0.11,2.1
92,38,1.26,0.12,2.5
93,83,2.11,0.29,2.4
94,57,1.38,0.21,2.2
95,76,2.90,0.27,2.5
96,76,2.36,0.13,2.4
97,91,2.08,0.15,2.4
98,57,2.41,0.24,2.0
99,66,1.53,0.28,2.0
